EXP,protein,HMR,HMR_std,Standard,Standard_std
-7.02,A,-9.21115,2.22221403259602,0.4882400000000011,1.7797441843640835
-6.77,B,-7.351490000000002,4.441201658760586,-7.054120000000001,2.175193211954592
-9.24,C,-10.173039999999997,3.0042329560693752,-11.738059999999997,0.8706512821509602
-9.08,D,-7.829200000000004,3.8448831594008737,-6.306039999999999,1.964521641067418
-8.2,E,-13.292360000000002,4.7315711415624575,-13.106670000000001,2.6474455383969238
-8.74,F,-14.119119999999999,3.1236648557779407,-11.97249,1.1523408865339189
-6.64,G,-7.35632,3.840457034737749,-9.015270000000001,2.194290218043183
-3.48,H,-0.8589999999999982,3.4703717345712564,-2.174249999999999,2.3474379797984017
-2.09,I,-4.254819999999997,5.132668142626536,-7.606850000000001,2.4391741931554534
-1.85,J,1.514990000000001,2.7102962212848825,0.46884999999999977,1.4217198294475761
-3.77,K,1.7528699999999997,2.197303008892695,3.3871100000000016,1.1180533335022778
0.0,W,0.0,1.5703072949443864,0.0,1.389764341174431
